id,PlatformId,GenreId,Level,Probability
139,14,11,1,0.59455024309362
140,4,5,4,0.2740760607703774
141,3,3,4,0.32652522980301196
142,14,1,4,0.34896888551672445
143,3,6,3,0.2703714283731831
144,13,11,1,0.5925284916528044
145,8,12,1,0.6382218201488541
146,2,11,1,0.5124574922209346
147,12,8,1,0.39210356350526354
148,8,12,1,0.6382218201488541
149,3,2,4,0.3334122184200561
150,3,8,1,0.33285609846600156
151,6,1,4,0.32186100704395787
152,5,1,4,0.32287993937105447
153,14,7,1,0.34084793798557517
154,1,4,4,0.3160761836385297
155,6,5,4,0.2707767848596803
156,6,11,1,0.5536567081995885
157,14,1,4,0.34896888551672445
158,5,1,4,0.32287993937105447
159,6,2,4,0.32744911217421113
160,6,11,1,0.5536567081995885
161,8,8,1,0.3740181992719616
162,14,5,4,0.2933398011480135
163,3,1,4,0.32775097535584186
164,14,3,4,0.3470133580919101
165,12,1,4,0.3360944911597036
166,13,1,4,0.3419998865112339
167,4,1,4,0.32484409459772684
168,1,5,4,0.285530382524152
169,3,8,1,0.33285609846600156
170,12,11,1,0.5896045804040819
171,13,1,4,0.3419998865112339
172,3,2,4,0.3334122184200561
173,4,1,4,0.32484409459772684
174,6,11,1,0.5536567081995885
175,1,1,4,0.33639451982301316
176,6,11,1,0.5536567081995885
177,6,12,1,0.6235994042523272
178,6,11,1,0.5536567081995885
179,1,5,4,0.285530382524152
180,4,6,3,0.267461631051527
181,17,1,4,0.3764794955842022
182,5,6,3,0.2640697647965269
183,5,6,3,0.2640697647965269
184,1,10,1,0.43092719170327587
185,17,2,4,0.3823527544776657
186,5,2,4,0.32848486223582096
187,1,11,1,0.5000297068713035
188,5,1,4,0.32287993937105447
189,19,1,4,0.4005047607837492
190,17,1,4,0.3764794955842022
191,1,2,4,0.34213940908204565
192,12,9,1,0.4537656361111729
193,6,11,1,0.5536567081995885
194,8,1,4,0.3226825976843794
195,6,11,1,0.5536567081995885
196,5,1,4,0.32287993937105447
197,1,9,1,0.36737525560525564
198,5,1,4,0.32287993937105447
199,3,11,1,0.5240392189071212
200,17,1,4,0.3764794955842022
201,12,4,4,0.3140246966769698
202,1,1,4,0.33639451982301316
203,8,10,1,0.5000419026569162
204,4,1,4,0.32484409459772684
205,3,1,4,0.32775097535584186
206,1,5,4,0.285530382524152
207,3,2,4,0.3334122184200561
208,5,5,4,0.2719940471783383
209,3,11,1,0.5240392189071212
210,1,12,1,0.5719789233204233
211,13,4,4,0.31959490469017476
212,3,7,1,0.28430580831474267
213,1,10,1,0.43092719170327587
214,14,4,4,0.3262052686577789
215,13,7,1,0.3400557036920167
216,12,5,4,0.28207192502322836
217,6,4,4,0.3011961857493331
218,5,2,4,0.32848486223582096
219,3,6,3,0.2703714283731831
220,3,5,4,0.27702326322857684
221,13,5,4,0.28720820069558795
222,8,4,4,0.30167206490464943
223,12,1,4,0.3360944911597036
224,8,2,4,0.32826081966256604
225,8,1,4,0.3226825976843794
226,6,11,1,0.5536567081995885
227,5,5,4,0.2719940471783383
228,14,1,4,0.34896888551672445
229,3,1,4,0.32775097535584186
230,4,11,1,0.5347686097987576
231,8,3,4,0.32115177135240697
232,3,3,4,0.32652522980301196
233,19,1,4,0.4005047607837492
234,1,10,1,0.43092719170327587
235,5,3,4,0.32153753697126886
236,13,1,4,0.3419998865112339
237,12,1,4,0.3360944911597036
238,8,1,4,0.3226825976843794
239,8,12,1,0.6382218201488541
240,6,4,4,0.3011961857493331
241,13,8,1,0.3942973731691594
242,13,1,4,0.3419998865112339
243,1,11,1,0.5000297068713035
244,4,2,4,0.3304735100056046
245,1,11,1,0.5000297068713035
246,3,4,4,0.3073773279492602
247,12,1,4,0.3360944911597036
248,3,8,1,0.33285609846600156
249,3,5,4,0.27702326322857684
250,5,6,3,0.2640697647965269
251,1,2,4,0.34213940908204565
252,6,11,1,0.5536567081995885
253,3,1,4,0.32775097535584186
254,13,2,4,0.34768677064284154
255,1,1,4,0.33639451982301316
256,8,6,1,0.2797464256242438
257,8,5,4,0.2709524831577994
258,3,1,4,0.32775097535584186
259,4,6,3,0.267461631051527
260,12,1,4,0.3360944911597036
261,17,2,4,0.3823527544776657
262,3,8,1,0.33285609846600156
263,19,1,4,0.4005047607837492
264,13,1,4,0.3419998865112339
265,3,1,4,0.32775097535584186
266,14,4,4,0.3262052686577789
267,1,2,4,0.34213940908204565
268,1,1,4,0.33639451982301316
269,6,11,1,0.5536567081995885
270,3,4,4,0.3073773279492602
271,13,4,4,0.31959490469017476
272,1,4,4,0.3160761836385297
273,8,1,4,0.3226825976843794
274,4,4,4,0.3044025562374992
275,4,12,1,0.6055800671510373
276,5,1,4,0.32287993937105447
277,8,1,4,0.3226825976843794
278,13,1,4,0.3419998865112339
279,1,7,3,0.2712335009052231
280,17,8,1,0.39282913502845507
281,5,11,1,0.5446418510403257
282,12,4,4,0.3140246966769698
283,19,1,4,0.4005047607837492
284,14,3,4,0.3470133580919101
285,19,2,4,0.40647800058093453
286,8,2,4,0.32826081966256604
287,1,2,4,0.34213940908204565
288,6,11,1,0.5536567081995885
289,5,11,1,0.5446418510403257
290,1,5,4,0.285530382524152
291,14,4,4,0.3262052686577789
292,3,1,4,0.32775097535584186
293,12,4,4,0.3140246966769698
294,3,11,1,0.5240392189071212
295,5,4,4,0.30234171198480225
296,1,1,4,0.33639451982301316
297,5,9,1,0.4101371975787992
298,12,2,4,0.34174583165857503
299,1,1,4,0.33639451982301316
300,6,11,1,0.5536567081995885
301,5,8,1,0.3515601164129067
302,14,2,4,0.354696856033148
303,3,8,1,0.33285609846600156
304,12,1,4,0.3360944911597036
305,8,6,1,0.2797464256242438
306,4,4,4,0.3044025562374992
307,3,1,4,0.32775097535584186
308,8,3,4,0.32115177135240697
309,1,1,4,0.33639451982301316
310,3,3,4,0.32652522980301196
311,1,12,1,0.5719789233204233
312,5,5,4,0.2719940471783383
313,4,1,4,0.32484409459772684
314,19,1,4,0.4005047607837492
315,1,4,4,0.3160761836385297
316,5,3,4,0.32153753697126886
317,1,2,4,0.34213940908204565
318,4,2,4,0.3304735100056046
319,5,11,1,0.5446418510403257
320,1,4,4,0.3160761836385297
321,1,9,1,0.36737525560525564
322,6,11,1,0.5536567081995885
323,8,9,1,0.4340601233840293
324,6,4,4,0.3011961857493331
325,4,11,1,0.5347686097987576
326,17,1,4,0.3764794955842022
327,5,3,4,0.32153753697126886
328,1,1,4,0.33639451982301316
329,19,3,4,0.3981734428612559
330,3,1,4,0.32775097535584186
331,12,5,4,0.28207192502322836
332,13,1,4,0.3419998865112339
333,8,12,1,0.6382218201488541
334,5,1,4,0.32287993937105447
335,4,1,4,0.32484409459772684
336,12,2,4,0.34174583165857503
337,5,1,4,0.32287993937105447
338,5,8,1,0.3515601164129067
339,1,5,4,0.285530382524152
340,3,3,4,0.32652522980301196
341,3,1,4,0.32775097535584186
342,17,8,1,0.39282913502845507
343,4,11,1,0.5347686097987576
344,1,5,4,0.285530382524152
345,3,11,1,0.5240392189071212
346,6,11,1,0.5536567081995885
347,13,1,4,0.3419998865112339
348,17,3,4,0.37429651169696565
349,5,6,3,0.2640697647965269
350,5,1,4,0.32287993937105447
351,12,5,4,0.28207192502322836
352,6,5,4,0.2707767848596803
353,3,2,4,0.3334122184200561
354,5,4,4,0.30234171198480225
355,5,4,4,0.30234171198480225
356,5,1,4,0.32287993937105447
357,8,3,4,0.32115177135240697
358,8,3,4,0.32115177135240697
359,13,11,1,0.5925284916528044
360,3,1,4,0.32775097535584186
361,2,11,1,0.5124574922209346
362,12,11,1,0.5896045804040819
363,3,2,4,0.3334122184200561
364,6,2,4,0.32744911217421113
365,13,1,4,0.3419998865112339
366,5,1,4,0.32287993937105447
367,6,1,4,0.32186100704395787
368,3,5,4,0.27702326322857684
369,12,1,4,0.3360944911597036
370,5,2,4,0.32848486223582096
371,1,9,1,0.36737525560525564
372,5,3,4,0.32153753697126886
373,12,2,4,0.34174583165857503
374,5,3,4,0.32153753697126886
375,8,11,1,0.569105445443415
376,6,11,1,0.5536567081995885
377,3,7,1,0.28430580831474267
378,17,2,4,0.3823527544776657
379,3,2,4,0.3334122184200561
380,6,5,4,0.2707767848596803
381,4,4,4,0.3044025562374992
382,12,5,4,0.28207192502322836
383,6,11,1,0.5536567081995885
384,13,4,4,0.31959490469017476
385,5,6,3,0.2640697647965269
386,5,8,1,0.3515601164129067
387,4,5,4,0.2740760607703774
388,5,2,4,0.32848486223582096
389,19,1,4,0.4005047607837492
390,3,11,1,0.5240392189071212
391,13,1,4,0.3419998865112339
392,8,9,1,0.4340601233840293
393,5,11,1,0.5446418510403257
394,3,2,4,0.3334122184200561
395,3,8,1,0.33285609846600156
396,8,9,1,0.4340601233840293
397,1,1,4,0.33639451982301316
398,13,1,4,0.3419998865112339
399,3,1,4,0.32775097535584186
400,6,11,1,0.5536567081995885
401,1,5,4,0.285530382524152
402,6,11,1,0.5536567081995885
403,5,3,4,0.32153753697126886
404,8,2,4,0.32826081966256604
405,13,11,1,0.5925284916528044
406,5,6,3,0.2640697647965269
407,5,1,4,0.32287993937105447
408,5,1,4,0.32287993937105447
409,14,1,4,0.34896888551672445
410,5,3,4,0.32153753697126886
411,19,1,4,0.4005047607837492
412,5,1,4,0.32287993937105447
413,5,1,4,0.32287993937105447
414,6,1,4,0.32186100704395787
415,3,1,4,0.32775097535584186
416,4,5,4,0.2740760607703774
417,12,4,4,0.3140246966769698
418,3,8,1,0.33285609846600156
419,8,10,1,0.5000419026569162
420,13,1,4,0.3419998865112339
421,14,3,4,0.3470133580919101
422,14,11,1,0.59455024309362
423,5,8,1,0.3515601164129067
424,14,4,4,0.3262052686577789
425,14,6,1,0.29579132750755494
426,4,5,4,0.2740760607703774
427,5,1,4,0.32287993937105447
428,5,3,4,0.32153753697126886
429,12,1,4,0.3360944911597036
430,4,1,4,0.32484409459772684
431,13,4,4,0.31959490469017476
432,4,1,4,0.32484409459772684
433,5,2,4,0.32848486223582096
